type,is_pyramid,units,entry_date,exit_date,entry_price,exit_price,pnl_points,mae_points,atr_at_exit,holding_hours,exit_reason,trade_id
Long,False,1.0,2025-10-03 18:00:00,2025-10-04 02:00:00,3864.39,3881.99,16.88,-9.74,22.95,24,Signal Exit,880
Long,False,1.0,2025-10-06 06:00:00,2025-10-07 10:00:00,3887.05,3958.06,70.29,-2.81,22.24,24,Signal Exit,881
Long,True,1.4000000000000001,2025-10-06 10:00:00,2025-10-07 10:00:00,3918.03,3958.06,55.03,-0.74,22.24,24,Signal Exit,882
Long,False,1.0,2025-10-07 14:00:00,2025-10-07 18:00:00,3964.82,3955.18,-9.86,-24.18,23.17,0,Signal Exit,883
Long,True,1.2,2025-10-08 02:00:00,2025-10-08 22:00:00,3980.8,4037.83,68.17,-8.09,24.12,0,Signal Exit,884
Long,False,1.0,2025-10-07 22:00:00,2025-10-08 22:00:00,3979.35,4037.83,57.76,-17.47,24.12,24,Signal Exit,885
Long,False,1.0,2025-10-09 02:00:00,2025-10-09 06:00:00,4051.35,4040.39,-11.18,-19.2,23.99,0,Signal Exit,886
Long,False,1.0,2025-10-09 14:00:00,2025-10-09 18:00:00,4039.82,4037.8,-2.24,-17.3,26.88,0,Signal Exit,887
Long,False,1.0,2025-10-10 06:00:00,2025-10-10 10:00:00,3979.47,3973.26,-6.43,-20.98,33.14,0,Signal Exit,888
Long,False,1.0,2025-10-10 14:00:00,2025-10-10 22:00:00,3974.81,3980.73,5.7,-22.3,36.57,0,Signal Exit,889
Long,False,1.0,2025-10-11 02:00:00,2025-10-14 14:00:00,3990.1,4121.42,129.6,-5.99,38.42,72,Signal Exit,890
Long,True,1.0,2025-10-13 06:00:00,2025-10-14 14:00:00,4012.06,4121.42,108.64,-4.67,38.42,24,Signal Exit,891
Long,False,1.0,2025-10-14 18:00:00,2025-10-14 22:00:00,4127.46,4123.98,-3.7,-29.82,40.21,0,Signal Exit,892
